rxqual_value,rxlev_dbm,km_value,hour,day_of_week,is_weekend,has_hdlc_retrans,com_dte_dce_ok,voisinage_ok,label
3.0,-63.0,68.956,9.0,5,1,1,0,0,0
3.0,-78.0,108.206,10.0,2,0,1,1,0,1
7.0,-53.0,6.13,8.0,2,0,1,1,0,1
7.0,-53.0,6.13,16.0,3,0,1,1,0,1
7.0,-97.0,147.876,14.0,5,1,1,0,0,1
0.0,-79.0,147.876,12.0,1,0,1,1,0,1
7.0,-57.0,7.321,17.0,2,0,1,1,1,1
2.0,-69.0,179.149,10.0,2,0,1,1,1,0
7.0,-65.0,202.125,16.0,5,1,1,1,0,1
7.0,-66.0,127.815,20.0,0,0,1,1,1,1
7.0,-57.0,7.321,17.0,0,0,1,1,1,1
7.0,-70.0,108.206,18.0,1,0,1,1,1,0
6.0,-87.0,25.91,17.0,2,0,1,1,0,0
7.0,-68.0,177.85,22.0,2,0,1,1,1,0
1.0,-64.0,144.326,18.0,3,0,1,1,1,0
0.0,-56.0,96.317,19.0,4,0,1,0,1,0
6.0,-77.0,127.815,18.0,5,1,1,1,1,1
5.0,-63.0,177.85,19.0,5,1,1,1,1,0
0.0,-48.0,162.895,9.0,5,1,1,0,1,0
0.0,-48.0,130.484,9.0,5,1,1,0,1,0
0.0,-59.0,79.282,7.0,6,1,1,1,1,0
0.0,-53.0,7.321,11.0,0,0,1,1,1,0
0.0,-48.0,91.365,11.0,1,0,1,1,1,0
0.0,-48.0,5.73,8.0,1,0,1,1,1,0
3.0,-60.0,73.526,11.0,2,0,1,0,1,0
3.0,-71.0,74.713,9.0,3,0,1,1,1,0
2.0,-65.0,39.215,15.0,3,0,1,1,0,0
2.0,-60.0,70.144,8.0,4,0,1,1,1,0
5.0,-77.0,131.789,22.0,5,1,1,1,1,0
3.0,-66.0,84.452,11.0,6,1,1,1,1,0
0.0,-51.0,45.829,12.0,0,0,1,1,1,0
0.0,-48.0,111.975,7.0,0,0,1,1,1,0
0.0,-48.0,125.206,10.0,0,0,1,1,1,1
0.0,-62.0,26.739,9.0,0,0,1,1,1,0
0.0,-68.0,179.149,10.0,2,0,1,1,1,0
0.0,-47.0,66.702,18.0,2,0,1,1,1,0
0.0,-64.0,153.686,22.0,4,0,1,1,1,0
2.0,-69.0,186.87,18.0,5,1,1,0,0,0
0.0,-48.0,111.975,8.0,5,1,1,1,1,0
0.0,-48.0,130.484,13.0,5,1,1,1,1,0
0.0,-52.0,79.282,10.0,6,1,1,1,0,0
3.0,-68.0,81.777,22.0,0,0,1,1,1,0
0.0,-48.0,21.55,8.0,0,0,1,1,1,0
2.0,-48.0,87.187,9.0,1,0,1,1,1,0
2.0,-68.0,64.387,11.0,1,0,1,1,1,1
2.0,-48.0,188.245,9.0,2,0,1,1,1,0
0.0,-50.0,186.87,9.0,2,0,0,1,1,0
0.0,-48.0,14.99,11.0,2,0,1,1,1,0
0.0,-67.0,58.71,18.0,2,0,1,1,1,0
