call_setup_duration_sec,transaction_duration_sec,hour,day_of_week,is_weekend,is_night,duration_very_short,duration_very_long,slow_setup,end_event_is_disconnect,end_event_is_clear,cause_radio_failure,cause_network_error,is_disconnect
3.618,957.948,23,0,0,0,0,0,0,1,0,0,0,1
3.605,762.919,23,0,0,0,0,0,0,1,0,0,0,1
3.601,44.093,22,0,0,0,1,0,0,0,0,0,0,0
3.635,2583.114,22,0,0,0,0,0,0,0,0,0,0,0
3.594,59.313,21,0,0,0,1,0,0,0,0,0,0,0
3.602,34.961,21,0,0,0,1,0,0,0,0,0,0,0
5.487,136.585,20,0,0,0,0,0,1,0,0,0,0,0
3.356,2513.511,18,0,0,0,0,0,0,0,0,0,0,0
3.586,31.856,18,0,0,0,1,0,0,0,0,0,0,0
3.614,62.797,17,0,0,0,0,0,0,0,0,0,0,0
3.615,2462.548,17,0,0,0,0,0,0,0,0,0,0,0
3.616,150.849,17,0,0,0,0,0,0,0,0,0,0,0
3.6029999999999998,2634.381,17,0,0,0,0,0,0,0,0,0,0,0
3.65,2536.83,16,0,0,0,0,0,0,0,0,0,0,0
4.033,39.061,16,0,0,0,1,0,0,1,0,0,0,1
3.628,2635.701,16,0,0,0,0,0,0,0,0,0,0,0
3.618,359.91,15,0,0,0,0,0,0,0,0,0,0,0
3.656,2495.149,15,0,0,0,0,0,0,0,0,0,0,0
4.552,2615.381,15,0,0,0,0,0,0,0,0,0,0,0
3.624,2479.725,14,0,0,0,0,0,0,0,0,0,0,0
3.612,28.038,14,0,0,0,1,0,0,0,1,1,0,1
3.637,79.311,14,0,0,0,0,0,0,0,0,0,0,0
4.525,2672.091,14,0,0,0,0,0,0,0,0,0,0,0
3.627,2487.969,13,0,0,0,0,0,0,0,0,0,0,0
3.629,31.328,13,0,0,0,1,0,0,0,1,1,0,1
3.615,56.772,13,0,0,0,1,0,0,0,0,0,0,0
3.608,32.543,13,0,0,0,1,0,0,0,0,0,0,0
3.581,74.523,13,0,0,0,0,0,0,0,1,1,0,1
4.557,2651.725,13,0,0,0,0,0,0,0,0,0,0,0
3.63,132.269,13,0,0,0,0,0,0,0,1,1,0,1
3.607,78.231,12,0,0,0,0,0,0,0,0,0,0,0
3.62,422.735,12,0,0,0,0,0,0,0,0,0,0,0
3.59,63.69,12,0,0,0,0,0,0,0,1,1,0,1
3.625,78.385,12,0,0,0,0,0,0,0,1,1,0,1
3.553,32.926,12,0,0,0,1,0,0,0,0,0,0,0
3.629,2701.35,12,0,0,0,0,0,0,0,0,0,0,0
3.352,2523.448,11,0,0,0,0,0,0,0,0,0,0,0
3.586,2552.801,10,0,0,0,0,0,0,0,0,0,0,0
3.607,2500.896,10,0,0,0,0,0,0,0,0,0,0,0
3.575,2678.48,10,0,0,0,0,0,0,0,0,0,0,0
3.65,182.926,9,0,0,0,0,0,0,0,0,0,0,0
3.618,71.286,9,0,0,0,0,0,0,0,0,0,0,0
3.623,2657.276,9,0,0,0,0,0,0,0,0,0,0,0
3.613,2608.076,8,0,0,0,0,0,0,0,0,0,0,0
4.548,2678.713,8,0,0,0,0,0,0,0,0,0,0,0
4.54,33.542,7,0,0,0,1,0,0,0,0,0,0,0
3.642,33.995,7,0,0,0,1,0,0,0,0,0,0,0
3.606,59.412,7,0,0,0,1,0,0,0,0,0,0,0
4.554,52.187,7,0,0,0,1,0,0,0,0,0,0,0
4.573,2793.457,7,0,0,0,0,0,0,0,0,0,0,0
3.6310000000000002,36.289,6,0,0,1,1,0,0,0,0,0,0,0
3.627,4522.449,6,0,0,1,0,1,0,0,0,0,0,0
4.571,42.752,6,0,0,1,1,0,0,0,0,0,0,0
3.6,78.932,6,0,0,1,0,0,0,0,0,0,0,0
4.535,36.228,6,0,0,1,1,0,0,0,0,0,0,0
4.5649999999999995,47.522,6,0,0,1,1,0,0,0,0,0,0,0
4.569,51.977,5,0,0,1,1,0,0,0,0,0,0,0
4.568,34.574,5,0,0,1,1,0,0,0,0,0,0,0
3.636,2591.107,5,0,0,1,0,0,0,0,0,0,0,0
3.62,6.856,5,0,0,1,1,0,0,1,0,0,0,1
4.583,38.049,5,0,0,1,1,0,0,0,0,0,0,0
4.555,2019.208,4,0,0,1,0,0,0,1,0,0,0,1
4.569,56.559,4,0,0,1,1,0,0,0,0,0,0,0
5.027,35.793,3,0,0,1,1,0,1,0,0,0,0,0
3.591,34.623,3,0,0,1,1,0,0,0,0,0,0,0
3.607,89.48,3,0,0,1,0,0,0,0,0,0,0,0
3.565,38.185,3,0,0,1,1,0,0,1,0,0,0,1
3.623,38.954,3,0,0,1,1,0,0,0,0,0,0,0
3.6310000000000002,52.013,3,0,0,1,1,0,0,0,1,1,0,1
3.6310000000000002,41.501,3,0,0,1,1,0,0,0,0,0,0,0
3.6189999999999998,98.415,3,0,0,1,0,0,0,0,0,0,0,0
3.604,36.251,3,0,0,1,1,0,0,0,0,0,0,0
3.657,34.78,3,0,0,1,1,0,0,0,0,0,0,0
3.624,784.638,2,0,0,1,0,0,0,0,1,1,0,1
3.6029999999999998,42.898,2,0,0,1,1,0,0,0,0,0,0,0
3.604,239.047,0,0,0,1,0,0,0,0,0,0,0,0
3.624,194.366,23,6,1,0,0,0,0,0,0,0,0,0
3.617,2514.078,23,6,1,0,0,0,0,0,0,0,0,0
3.83,2570.348,22,6,1,0,0,0,0,0,0,0,0,0
3.867,38.859,22,6,1,0,1,0,0,1,0,0,0,1
3.59,2676.107,22,6,1,0,0,0,0,0,0,0,0,0
4.546,36.003,21,6,1,0,1,0,0,0,0,0,0,0
3.615,47.029,21,6,1,0,1,0,0,0,0,0,0,0
4.575,2803.364,21,6,1,0,0,0,0,0,0,0,0,0
3.615,52.519,20,6,1,0,1,0,0,0,0,0,0,0
3.602,35.599,20,6,1,0,1,0,0,0,0,0,0,0
3.605,355.619,20,6,1,0,0,0,0,0,0,0,0,0
3.608,1545.891,20,6,1,0,0,0,0,0,0,0,0,0
3.607,766.224,20,6,1,0,0,0,0,0,0,0,0,0
3.623,33.909,19,6,1,0,1,0,0,0,0,0,0,0
3.628,42.809,19,6,1,0,1,0,0,0,0,0,0,0
3.626,2536.554,18,6,1,0,0,0,0,0,0,0,0,0
3.628,2505.878,17,6,1,0,0,0,0,0,0,0,0,0
3.597,134.873,17,6,1,0,0,0,0,0,0,0,0,0
3.582,2633.612,17,6,1,0,0,0,0,0,0,0,0,0
3.607,35.252,16,6,1,0,1,0,0,0,0,0,0,0
3.612,2488.281,16,6,1,0,0,0,0,0,0,0,0,0
3.391,32.598,16,6,1,0,1,0,0,0,1,1,0,1
3.628,2641.676,16,6,1,0,0,0,0,0,0,0,0,0
3.609,35.772,15,6,1,0,1,0,0,0,0,0,0,0
3.66,2536.278,15,6,1,0,0,0,0,0,0,0,0,0
3.608,2672.72,15,6,1,0,0,0,0,0,0,0,0,0
3.394,2490.203,14,6,1,0,0,0,0,0,0,0,0,0
3.628,2708.834,14,6,1,0,0,0,0,0,0,0,0,0
3.6310000000000002,2669.178,13,6,1,0,0,0,0,0,0,0,0,0
3.6390000000000002,36.828,13,6,1,0,1,0,0,0,0,0,0,0
3.628,2628.489,13,6,1,0,0,0,0,0,0,0,0,0
3.375,35.912,12,6,1,0,1,0,0,0,0,0,0,0
3.605,262.898,12,6,1,0,0,0,0,0,0,0,0,0
3.629,32.806,12,6,1,0,1,0,0,0,0,0,0,0
3.62,2672.367,12,6,1,0,0,0,0,0,0,0,0,0
3.362,40.978,11,6,1,0,1,0,0,0,0,0,0,0
3.613,2511.466,11,6,1,0,0,0,0,0,0,0,0,0
3.638,2519.309,10,6,1,0,0,0,0,0,0,0,0,0
4.5600000000000005,2632.977,10,6,1,0,0,0,0,0,0,0,0,0
3.634,36.129,9,6,1,0,1,0,0,0,0,0,0,0
4.55,2727.19,9,6,1,0,0,0,0,0,0,0,0,0
3.644,33.001,8,6,1,0,1,0,0,0,0,0,0,0
3.616,36.489,8,6,1,0,1,0,0,0,0,0,0,0
4.514,4534.186,8,6,1,0,0,1,0,0,0,0,0,0
3.628,31.839,8,6,1,0,1,0,0,0,0,0,0,0
4.559,38.137,8,6,1,0,1,0,0,0,0,0,0,0
4.55,332.686,7,6,1,0,0,0,0,0,0,0,0,0
4.526,39.406,7,6,1,0,1,0,0,0,0,0,0,0
4.5600000000000005,104.486,7,6,1,0,0,0,0,0,0,0,0,0
4.543,35.341,7,6,1,0,1,0,0,0,0,0,0,0
3.607,4632.807,6,6,1,1,0,1,0,0,0,0,0,0
4.54,59.626,6,6,1,1,1,0,0,0,0,0,0,0
3.586,45.505,5,6,1,1,1,0,0,0,0,0,0,0
3.594,191.85,3,6,1,1,0,0,0,0,0,0,0,0
3.6310000000000002,161.083,0,6,1,1,0,0,0,0,0,0,0,0
3.63,2471.22,23,5,1,0,0,0,0,0,0,0,0,0
3.625,2565.764,22,5,1,0,0,0,0,0,0,0,0,0
3.612,6.818,22,5,1,0,1,0,0,1,0,0,0,1
3.641,239.43,22,5,1,0,0,0,0,1,0,0,0,1
3.61,37.106,21,5,1,0,1,0,0,0,0,0,0,0
3.62,34.664,21,5,1,0,1,0,0,0,0,0,0,0
3.623,34.317,21,5,1,0,1,0,0,0,0,0,0,0
3.384,164.476,19,5,1,0,0,0,0,0,0,0,0,0
3.612,32.642,19,5,1,0,1,0,0,0,0,0,0,0
3.608,2509.753,18,5,1,0,0,0,0,0,0,0,0,0
3.614,30.312,18,5,1,0,1,0,0,1,0,0,0,1
3.63,2523.421,17,5,1,0,0,0,0,0,0,0,0,0
3.638,141.593,17,5,1,0,0,0,0,0,0,0,0,0
3.648,3143.688,17,5,1,0,0,0,0,0,0,0,0,0
3.618,2435.157,16,5,1,0,0,0,0,0,0,0,0,0
3.643,44.756,16,5,1,0,1,0,0,0,0,0,0,0
3.6,2640.313,16,5,1,0,0,0,0,0,0,0,0,0
3.591,2547.131,15,5,1,0,0,0,0,0,0,0,0,0
4.592,2654.348,15,5,1,0,0,0,0,0,0,0,0,0
3.6189999999999998,2493.576,14,5,1,0,0,0,0,0,0,0,0,0
3.6029999999999998,2725.048,14,5,1,0,0,0,0,0,0,0,0,0
3.644,33.254,13,5,1,0,1,0,0,0,0,0,0,0
3.359,2507.677,13,5,1,0,0,0,0,0,0,0,0,0
3.618,2673.634,13,5,1,0,0,0,0,0,0,0,0,0
3.625,33.731,12,5,1,0,1,0,0,0,0,0,0,0
3.629,34.197,12,5,1,0,1,0,0,0,0,0,0,0
3.6029999999999998,2702.642,12,5,1,0,0,0,0,0,0,0,0,0
3.581,2522.468,11,5,1,0,0,0,0,0,0,0,0,0
3.605,30.248,11,5,1,0,1,0,0,0,1,1,0,1
3.613,1219.428,11,5,1,0,0,0,0,0,0,0,0,0
3.625,63.632,11,5,1,0,0,0,0,0,1,1,0,1
3.606,49.836,11,5,1,0,1,0,0,0,0,0,0,0
3.599,569.119,10,5,1,0,0,0,0,0,0,0,0,0
3.63,87.297,10,5,1,0,0,0,0,0,1,1,0,1
3.61,47.866,10,5,1,0,1,0,0,0,0,0,0,0
3.653,89.053,10,5,1,0,0,0,0,1,0,0,0,1
3.578,2499.341,10,5,1,0,0,0,0,0,0,0,0,0
3.618,2645.842,10,5,1,0,0,0,0,0,0,0,0,0
3.637,2463.469,9,5,1,0,0,0,0,0,0,0,0,0
3.627,2660.952,9,5,1,0,0,0,0,0,0,0,0,0
3.651,2478.799,8,5,1,0,0,0,0,0,0,0,0,0
4.564,2691.89,8,5,1,0,0,0,0,0,0,0,0,0
3.597,62.978,7,5,1,0,0,0,0,0,0,0,0,0
3.637,37.554,7,5,1,0,1,0,0,0,0,0,0,0
4.559,2804.758,7,5,1,0,0,0,0,0,0,0,0,0
4.525,38.698,7,5,1,0,1,0,0,0,0,0,0,0
3.6550000000000002,47.117,6,5,1,1,1,0,0,0,0,0,0,0
3.36,4446.602,6,5,1,1,0,1,0,0,0,0,0,0
3.5789999999999997,102.629,6,5,1,1,0,0,0,0,0,0,0,0
4.611,34.332,6,5,1,1,1,0,0,0,0,0,0,0
3.616,315.932,6,5,1,1,0,0,0,0,0,0,0,0
4.57,34.951,6,5,1,1,1,0,0,0,0,0,0,0
4.807,41.745,5,5,1,1,1,0,0,0,0,0,0,0
4.542,62.375,5,5,1,1,0,0,0,0,0,0,0,0
3.6029999999999998,43.201,5,5,1,1,1,0,0,0,0,0,0,0
3.618,4646.528,4,5,1,1,0,1,0,0,0,0,0,0
3.624,104.76,4,5,1,1,0,0,0,0,0,0,0,0
3.625,46.099,4,5,1,1,1,0,0,0,0,0,0,0
3.6310000000000002,28.618,4,5,1,1,1,0,0,0,1,1,0,1
3.38,36.222,4,5,1,1,1,0,0,0,0,0,0,0
3.642,37.237,4,5,1,1,1,0,0,0,1,1,0,1
3.614,56.286,4,5,1,1,1,0,0,0,0,0,0,0
3.632,52.339,4,5,1,1,1,0,0,0,1,1,0,1
3.652,106.421,4,5,1,1,0,0,0,0,0,0,0,0
3.592,100.704,3,5,1,1,0,0,0,0,0,0,0,0
3.6029999999999998,41.1,3,5,1,1,1,0,0,0,1,1,0,1
3.64,48.943,3,5,1,1,1,0,0,0,1,1,0,1
3.599,81.388,3,5,1,1,0,0,0,0,0,0,0,0
3.65,120.362,3,5,1,1,0,0,0,0,0,0,0,0
3.5949999999999998,42.514,3,5,1,1,1,0,0,0,0,0,0,0
3.618,5.503,3,5,1,1,1,0,0,1,0,0,0,1
3.632,53.453,3,5,1,1,1,0,0,0,1,1,0,1
3.621,585.75,3,5,1,1,0,0,0,0,1,1,0,1
3.593,560.092,2,5,1,1,0,0,0,1,0,0,0,1
3.6470000000000002,153.224,0,5,1,1,0,0,0,0,0,0,0,0
3.641,2490.908,23,4,0,0,0,0,0,0,0,0,0,0
3.593,2695.711,22,4,0,0,0,0,0,0,0,0,0,0
3.5949999999999998,35.268,21,4,0,0,1,0,0,0,0,0,0,0
3.6029999999999998,48.274,21,4,0,0,1,0,0,0,0,0,0,0
3.5869999999999997,173.006,19,4,0,0,0,0,0,0,0,0,0,0
3.6109999999999998,151.55,18,4,0,0,0,0,0,0,0,0,0,0
3.6029999999999998,2623.124,18,4,0,0,0,0,0,0,0,0,0,0
3.617,46.464,18,4,0,0,1,0,0,0,0,0,0,0
3.621,4.054,18,4,0,0,1,0,0,1,0,0,0,1
3.6109999999999998,2609.232,17,4,0,0,0,0,0,0,1,1,0,1
3.612,126.337,17,4,0,0,0,0,0,0,0,0,0,0
3.615,2617.035,17,4,0,0,0,0,0,0,0,0,0,0
3.418,2481.576,16,4,0,0,0,0,0,0,0,0,0,0
3.596,139.215,16,4,0,0,0,0,0,0,0,0,0,0
4.554,2811.133,16,4,0,0,0,0,0,0,0,0,0,0
3.59,2660.813,15,4,0,0,0,0,0,0,0,0,0,0
4.559,41.13,15,4,0,0,1,0,0,0,0,0,0,0
3.609,2683.876,15,4,0,0,0,0,0,0,0,0,0,0
