source,timestamp,km,zone_gsmr,cause_racine,sous_systeme,rxqual_ertms,rxlev_ertms,start_time,stop_time,call_setup_duration,transaction_duration,gsmr_connected,etcs_connected,end_event,end_cause,imei,label,call_setup_sec,transaction_sec,hour,day_of_week,is_weekend,is_night,duration_very_short,duration_very_long,slow_setup,km_value
Expandium_Normal,2025-10-28 23:35:22.338,,,,,,,2025-10-28 23:35:22.338,2025-10-29 00:08:42.025,3s 603ms,33min 19s 687ms,Connected,Connected,User Plane SUBSET026 Term Session,,35214500045131.0,0,3.6029999999999998,1999.687,23,1,0,0,0,0,0,
ERTMS,2025-12-11 12:12:56.000,33.961,GSMR_06/07,"Selon notre analyse, nous avons constaté que le HO est complet entre 206 et 207 ,les conditions radio étaient bonnes avant la déconnexion, La requete de deconnexion a ete envoyé par le bord suite au retransmission des trames HDLC",RBC,dl Rxqual=3,dl rx level=-49,2025-12-11 12:12:57.731,2025-12-11 12:13:01.892,3s 626ms,4s 161ms,Connected,Not Connected,Disconnect,Normal call clearing,35214500042751.0,1,3.626,4.161,12,3,0,0,1,0,0,33.961
ERTMS,2025-10-16 21:05:29.000,6.13,GSMR_02/03,"Selon notre analyse, nous avons constaté que le HO non finalisé entre 301 et 203 ,les conditions radio étaient Mauvaises avant la déconnexion,La requete de deconnexion a ete envoyé par le Bord sans retransmission des trames HDLC",BORD,dl Rxqual=7,dl rx level=-54,2025-10-16 21:05:27.687,2025-10-16 21:05:43.780,3s 617ms,16s 93ms,Connected,Not Connected,User Plane SAPDU DI,Normal release requested by peer SFM user,35214500045073.0,1,3.617,16.093,21,3,0,0,1,0,0,6.13
Expandium_Normal,2025-10-14 15:01:21.033,,,,,,,2025-10-14 15:01:21.033,2025-10-14 15:47:33.808,3s 630ms,46min 12s 775ms,Connected,Connected,User Plane SUBSET026 Term Session,,35214500036582.0,0,3.63,2772.775,15,1,0,0,0,0,0,
ERTMS,2025-10-20 15:57:16.000,109.495,GSMR_19/20,"Selon notre analyse, nous avons constaté que le HO non finalisé entre 320 et 319 ,les conditions radio étaient Mauvaises avant la déconnexion,La requete de deconnexion a ete envoyé par le RBC avec retransmission des trames HDLC",GSMR,dl Rxqual=0,dl rx level=-75,2025-10-20 15:57:09.631,2025-10-20 15:57:25.867,3s 595ms,16s 236ms,Connected,Connected,User Plane SAPDU DI,Normal release requested by peer SFM user,35214500045329.0,1,3.5949999999999998,16.236,15,0,0,0,1,0,0,109.495
Expandium_Normal,2026-01-31 14:00:34.281,,,,,,,2026-01-31 14:00:34.281,2026-01-31 14:46:51.469,4s 555ms,46min 17s 188ms,Connected,Connected,User Plane SUBSET026 Term Session,,35214500045187.0,0,4.555,2777.188,14,5,1,0,0,0,0,
ERTMS,2025-10-25 22:55:26.000,94.954,GSMR_17/18,"Selon notre analyse, nous avons constaté que le HO non finalisé entre 318 et 217 Avec Downlink quality ,les conditions radio étaient Mauvaises avant la déconnexion,La requete de deconnexion a ete envoyé par le Bord sans retransmission des trames HDLC",BORD,dl Rxqual=6,dl rx level=-82,2025-10-25 22:55:34.714,2025-10-25 22:55:39.138,3s 596ms,4s 424ms,Connected,Not Connected,Disconnect,Normal call clearing,35214500045494.0,1,3.596,4.424,22,5,1,0,1,0,0,94.954
Expandium_Normal,2026-01-08 07:33:25.266,,,,,,,2026-01-08 07:33:25.266,2026-01-08 08:15:27.310,3s 587ms,42min 2s 44ms,Connected,Connected,User Plane SUBSET026 Term Session,,35214500038727.0,0,3.5869999999999997,2522.044,7,3,0,0,0,0,0,
Expandium_Normal,2026-03-01 08:10:20.601,,,,,,,2026-03-01 08:10:20.601,2026-03-01 08:10:55.088,3s 639ms,34s 487ms,Connected,Connected,User Plane SUBSET026 Term Session,,35214500044557.0,0,3.6390000000000002,34.487,8,6,1,0,1,0,0,
Expandium_Normal,2025-11-24 04:01:05.388,,,,,,,2025-11-24 04:01:05.388,2025-11-24 05:17:22.811,4s 530ms,1h 16min 17s 423ms,Connected,Connected,User Plane SUBSET026 Term Session,,35214500036582.0,0,4.53,4577.423,4,0,0,1,0,1,0,
